UMLS_pt,UMLS_pt_UI,pt
Angiotensin converting enzyme increased,C0877244,Exposure via skin contact
Emergency Care,C1527398,Angiotensin converting enzyme increased
Protein-losing gastroenteropathy,C0302858,Emergency care
Cerebral Small Vessel Diseases,C2733158,Protein-losing gastroenteropathy
Squamous cell carcinoma of the hypopharynx recurrent,C0280392,Cerebral microangiopathy
Carcinoid crisis,C0342569,Squamous cell carcinoma of the hypopharynx
Laryngeal discomfort,C1096228,Carcinoid crisis
Idiopathic angioedema,C1304177,Laryngeal discomfort
Vasogenic Cerebral Edema,C0472387,Idiopathic angioedema
"Embolism, Tumor",C0013930,Vasogenic cerebral oedema
Loss of personal independence in daily activities,C4324724,Tumour embolism
Disorder of anterior chamber of eye,C0579030,Loss of personal independence in daily activities
Aphakia,C0003534,Anterior chamber disorder
Corneal epithelium defect,C0854114,Aphakia
Post procedural drainage,C5779745,Corneal epithelium defect
Dermatologic disorders,C0037274,Post procedural drainage
Conjunctival laceration,C1562000,Dermatosis
Histone antibody positive,C1096505,Conjunctival laceration
Central venous catheter removal,C1868802,Histone antibody positive
Bulging fontanelle,C0235014,Central venous catheter removal
Rickets,C0035579,Fontanelle bulging
Deformity of the skull,C4759713,Rickets
Bariatric Surgery,C1456587,Skull malformation
Sturge-Weber Syndrome,C0038505,Metabolic surgery
Intention tremor,C4551520,Sturge-Weber syndrome
Q Fever,C0034362,Intention tremor
Epulides,C0266919,Q fever
Product label on wrong product,C2609210,Gingival polyp
Transferrin decreased,C0855666,Product label on wrong product
Alcohol test false positive,C3544119,Transferrin decreased
Abnormal hematocrit,C0877168,Alcohol test false positive
"Hygroma, Subdural",C0751533,Haematocrit abnormal
Drug Use Disorders,C0013222,Subdural hygroma
Aortic valve thickened,C0741190,Drug use disorder
Leukemoid Reaction,C0023501,Aortic valve thickening
Human herpesvirus 8 infection,C1512508,Leukaemoid reaction
Gastrointestinal polyp haemorrhage,C0940282,Human herpesvirus 8 infection
Foetal cerebrovascular disorder,C0549456,Gastrointestinal polyp haemorrhage
Fetal Macrosomia,C0015938,Foetal cerebrovascular disorder
Fetal tachycardia,C0410918,Foetal macrosomia
Umbilical sepsis,C0349493,Tachycardia foetal
Sedation complication,C4523931,Umbilical sepsis
Antithyroid arthritis syndrome,C3544276,Sedation complication
Mean cell haemoglobin concentration decreased,C0855786,Antithyroid arthritis syndrome
Normocytic anemia,C0085577,Mean cell haemoglobin decreased
Gait inability,C0549237,Normocytic anaemia
Blood bicarbonate abnormal,C0853736,Gait inability
Calcium phosphate product increased,C1504408,Blood bicarbonate abnormal
Autoimmune colitis,C3888552,Calcium phosphate product increased
Angioimmunoblastic T-cell lymphoma refractory,C0854834,Autoimmune colitis
"Recurrent Chronic Myelogenous Leukemia, BCR-ABL1 Positive",C0278787,Angioimmunoblastic T-cell lymphoma
Stomatococcal infection,C2363769,Chronic myeloid leukaemia recurrent
Diffuse large B-cell lymphoma recurrent,C0855111,Stomatococcal infection
Gliosis,C0017639,Diffuse large B-cell lymphoma recurrent
Drug effect variable,C3805036,Gliosis
Tongue erythema,C0241431,Drug effect variable
Increased mean arterial pressure,C0520853,Tongue erythema
Postural Orthostatic Tachycardia Syndrome,C1299624,Mean arterial pressure increased
C3 glomerulopathy,C4087273,Postural orthostatic tachycardia syndrome
Cerebral Angiitis,C0238051,C3 glomerulopathy
Cholecystocholangitis,C0877561,Vasculitis cerebral
Product use complaint,C4324634,Cholecystocholangitis
Aortitis,C0003509,Product use complaint
Ischemic enteritis of intestine,C0267395,Aortitis
Soft tissue swelling,C0037580,Ischaemic enteritis
Tongue movement disturbance,C0860556,Soft tissue swelling
Fungal sinusitis,C1142077,Tongue movement disturbance
Product storage error,C4523980,Sinusitis fungal
Intestinal fibrosis,C3544347,Product storage error
Total complement activity decreased,C4087286,Intestinal fibrosis
Pancreatic operation,C0920087,Total complement activity decreased
Aspergillus test positive,C2748371,Pancreatic operation
CSF mononuclear cell count increased,C1610057,Aspergillus test positive
Fungal infection of brain,C0270686,CSF mononuclear cell count increased
Tracheostomy infection,C0695236,Cerebral fungal infection
Eosinophilic panniculitis,C0406597,Tracheostomy infection
Serratia Infections,C0085394,Eosinophilic panniculitis
Vascular access malfunction,C4087278,Serratia infection
Pharyngeal lesion,C0749389,Vascular access malfunction
Wrong technique in device usage process,C4049504,Pharyngeal lesion
Teratoma,C0039538,Wrong technique in device usage process
Diabetic hyperglycaemic coma,C0853011,Teratoma
Limb mass,C4285808,Diabetic hyperglycaemic coma
Hemiparaesthesia,C1399357,Limb mass
Meningeal Carcinomatosis,C0220654,Hemiparaesthesia
Device kink,C2748255,Metastases to meninges
Implant site dehiscence,C3854500,Device kink
Implant site haematoma,C1504450,Implant site dehiscence
Gastric dysplasia,C0267111,Implant site haematoma
Bladder cancer recurrent,C0278827,Gastric dysplasia
Pleuroperitoneal communication,C2363925,Bladder cancer recurrent
Malignant neoplasm of appendix,C0496779,Pleuroperitoneal communication
Cholangiolitis,C0008308,Appendix cancer
Cholesterol Embolism,C0149649,Cholangiolitis
Cleft upper lip,C0008924,Atheroembolism
Cleft Palate,C0008925,Cleft lip
Systemic lupus erythematosus rash,C0521471,Cleft palate
Septic arthritis staphylococcal,C0854092,Systemic lupus erythematosus rash
Product supply issue,C4087262,Septic arthritis staphylococcal
Urethrorectal fistula,C0268875,Product supply issue
Iodine allergy,C0571818,Rectourethral fistula
Procedural dizziness,C1868754,Iodine allergy
Esophageal mass,C0577008,Procedural dizziness
Fungal gastrointestinal infection,C0729549,Oesophageal mass
Parasitic Diseases,C0030499,Gastrointestinal fungal infection
Parasitic gastroenteritis,C1963820,Infection parasitic
Vascular resistance systemic increased,C0853061,Parasitic gastroenteritis
Meniscal degeneration,C2721566,Vascular resistance systemic increased
Oxygen Therapy Care,C0184633,Meniscal degeneration
Drug specific antibody,C4524162,Oxygen therapy
Coronary vein stenosis,C4285783,Drug specific antibody
Wound sepsis,C1141927,Coronary vein stenosis
Non-cardiogenic pulmonary edema,C3241936,Wound sepsis
Reactivation of hepatitis B viral hepatitis,C2960634,Non-cardiogenic pulmonary oedema
Labyrinthitis,C0022893,Hepatitis B reactivation
Congenital cystic lung,C0158641,Inner ear inflammation
Pulmonary malformation,C0235915,Congenital cystic lung
Hypotensive Transfusion Reaction,C3267086,Pulmonary malformation
Graft versus host disease in lung,C1963831,Hypotensive transfusion reaction
Administration site erythema,C3805283,Graft versus host disease in lung
Administration site irritation,C3888600,Administration site erythema
Administration site pruritus,C3854414,Administration site irritation
Administration site rash,C3160910,Administration site pruritus
Application site wound,C4285766,Administration site rash
Vascular procedure complication,C1112391,Application site wound
Biliary adenoma,C0238020,Vascular procedure complication
Retinal pigmentation,C0151892,Biliary adenoma
Melanoderma (disorder),C0221436,Retinal pigmentation
Adnexa uteri mass,C1142133,Melanoderma
Genital Edema,C0151604,Adnexa uteri mass
Contraindicated drug prescribed,C4324296,Oedema genital
Gastrointestinal dysplasia,C3887824,Contraindicated drug prescribed
Conjunctival deposit,C0162280,Gastrointestinal dysplasia
Congenital structural abnormality of orbit,C0266587,Conjunctival deposit
Congenital absence of external ear,C0702139,"Anomaly of orbit, congenital"
Anterior displaced anus,C3203698,Anotia
Congenital Camptodactyly,C0685409,Anterior displaced anus
Congenital Foot Deformity,C0016508,Camptodactyly congenital
Congenital Hand Deformities,C0018566,Congenital foot malformation
Congenital ear anomaly NOS (disorder),C0266589,Congenital hand malformation
Hypocalvaria,C3665771,Ear malformation
Orbital separation diminished,C0424711,Hypocalvaria
Low set ears,C0239234,Hypotelorism of orbit
Pigmentation lip,C0854374,Low set ears
Drug monitoring procedure incorrectly performed,C3854525,Pigmentation lip
Exertional dizziness,C0234988,Drug monitoring procedure incorrectly performed
Graft loss,C0877042,Dizziness exertional
Myxedema coma,C0238298,Graft loss
Myxedema,C0027145,Myxoedema coma
Transplant evaluation,C1141889,Myxoedema
Bacterial Toxemia,C0542241,Transplant evaluation
Foreign body in respiratory tract,C0433654,Bacterial toxaemia
Instillation site pruritus,C1504441,Foreign body in respiratory tract
Tumour thrombosis,C2242635,Instillation site pruritus
Acinetobacter test positive,C2747952,Tumour thrombosis
Injury of nose,C0272427,Acinetobacter test positive
Renal tubular injury,C4324374,Nasal injury
Central Nervous System Necrotic Lesion,C1392207,Renal tubular injury
Abducens Nerve Palsy,C4551519,Central nervous system necrosis
Infection transmission via personal contact,C0853963,VIth nerve paralysis
Product container seal issue,C2609223,Infection transmission via personal contact
"Rhinitis, Vasomotor",C0035460,Product container seal issue
Cavernous Sinus Thrombosis,C0238454,Vasomotor rhinitis
Hyperchloremia,C0085679,Cavernous sinus thrombosis
Oroantral Fistula,C0029293,Hyperchloraemia
Infectious Arteritis,C1697748,Oroantral fistula
Negative cardiac inotropic effect,C0877281,Arteritis infective
Executive dysfunction,C2748208,Negative cardiac inotropic effect
Vulvovaginal inflammation,C4324612,Executive dysfunction
Hemorrhagic ascites,C0019086,Vulvovaginal inflammation
Uterine haematoma,C1535877,Haemorrhagic ascites
Hypercreatininaemia,C1328315,Uterine haematoma
Antineutrophil cytoplasmic antibody measurement,C0201530,Hypercreatininaemia
Burns fourth degree,C1739379,Antineutrophil cytoplasmic antibody
Urinary casts present,C0151990,Burns fourth degree
Disorganised speech,C1866987,Urinary casts present
Urine calcium increased,C0919643,Disorganised speech
Varicose veins of abdominal wall,C3267096,Urine calcium increased
Mouth Breathing,C0026635,Varicose veins of abdominal wall
Dental Restoration Failure,C0376494,Mouth breathing
Lumbosacral radiculopathy,C0154738,Dental restoration failure
Carbon dioxide abnormal,C1535952,Lumbosacral radiculopathy
Inadequate food diet,C0522060,Carbon dioxide abnormal
Sprue-like enteropathy,C4523848,Inadequate diet
Intentional dose omission,C4324531,Sprue-like enteropathy
Consciousness fluctuating,C0919596,Intentional dose omission
Genital cyst,C0239718,Consciousness fluctuating
Non-small cell lung cancer stage III,C0278506,Genital cyst
Granulocyte count increased,C0861145,Non-small cell lung cancer stage III
Intraocular haematoma,C3266966,Granulocyte count increased
Glossoptosis,C0267048,Intraocular haematoma
Pyelitis,C0034183,Glossoptosis
Neurological examination abnormal,C1112537,Pyelitis
Reduced facial expression,C4285818,Neurological examination abnormal
Schistosomiasis,C0036323,Reduced facial expression
Prostatic Neoplasms,C0033578,Schistosomiasis
Hemangioma of bone,C1332578,Neoplasm prostate
Continuous Positive Airway Pressure,C0199451,Haemangioma of bone
Testicular Leydig Cell Tumor,C0863027,Continuous positive airway pressure
Aortic stent insertion,C3203473,Leydig cell tumour of the testis
Product leakage,C3889022,Aortic stent insertion
Hemiasomatognosia,C4049319,Product leakage
Pharyngeal paraesthesia,C4049217,Hemiasomatognosia
Segmental diverticular colitis,C4324504,Pharyngeal paraesthesia
Malocclusion,C0024636,Segmental diverticular colitis
Diastema of Teeth,C0011998,Malocclusion
Transarterial chemoembolization of hepatic artery,C2711393,Diastema
Glomus Tumor,C0017653,Transcatheter arterial chemoembolisation
Polyp of tongue,C0585631,Glomus tumour
Fungal balanitis,C4324699,Tongue polyp
Suture related complication,C1142470,Fungal balanitis
Vaccine Breakthrough Infections,C2242560,Suture related complication
Retinal cyst,C0520724,Vaccine breakthrough infection
Perihepatic abscess,C1963776,Retinal cyst
Spinal cord infection,C0877275,Perihepatic abscess
Liver function test decreased,C0745753,Spinal cord infection
"Aneurysm, Ruptured",C0162869,Liver function test decreased
Malignant polyp,C4285860,Aneurysm ruptured
Abdominal wall infection,C0919934,Malignant polyp
Blood growth hormone releasing hormone increased,C1504342,Abdominal wall infection
Injection site streaking,C1868695,Blood growth hormone releasing hormone increased
Tracheitis,C0040584,Injection site streaking
"Leukemia, Mast-Cell",C0023461,Tracheitis
Biliary tract infection bacterial,C1696843,Mastocytic leukaemia
Scleroderma renal crisis,C1262147,Biliary tract infection bacterial
Uterovaginal prolapse,C0156353,Scleroderma renal crisis
False negative investigation result,C2939039,Uterovaginal prolapse
Skin indentation,C4324561,False negative investigation result
Mastitis fungal,C1696845,Skin indentation
Prophylactic treatment,C0199176,Mastitis fungal
Chronic active hepatitis,C0520463,Prophylaxis
Left Ventricular Hypertrophy,C0149721,Hepatitis chronic active
Osteochondritis,C0029420,Left ventricular enlargement
Anal polyp,C0267573,Osteochondritis
Thrombosis of penile vein,C0392107,Anal polyp
Poor quality device used,C4285850,Penile vein thrombosis
Electrocardiogram QT interval abnormal,C1504435,Poor quality device used
Injury of urinary bladder,C0403677,Electrocardiogram QT interval abnormal
corneal surgery,C0197402,Bladder injury
Synovial fluid crystal present,C1112326,Corneal operation
Binge eating disorder,C0596170,Synovial fluid crystal present
Infection by Cryptococcus neoformans,C0010414,Binge eating
Delayed Graft Function,C1566590,Cryptococcosis
Metastatic malignant neoplasm to mediastinum,C0153677,Delayed graft function
Chemotherapeutic drug level increased,C0861113,Metastases to the mediastinum
Oligodipsia,C0948591,Chemotherapeutic drug level increased
Lagophthalmos,C0152226,Oligodipsia
Carnitine decreased,C0853886,Lagophthalmos
Necrotising panniculitis,C1262155,Carnitine decreased
Chilblains,C0008058,Necrotising panniculitis
Silicosis,C0037116,Chillblains
Acute motor sensory axonal neuropathy,C3900111,Silicosis
Injection site indentation,C4324564,Acute motor-sensory axonal neuropathy
Peritoneal carcinoma metastatic,C2609113,Injection site indentation
Omphalitis,C0028992,Peritoneal carcinoma metastatic
Malignant neoplasm of endocrine gland,C0153658,Omphalitis
Aortic elongation,C1699015,Endocrine neoplasm malignant
Sensory nerve conduction studies abnormal,C0855697,Aortic elongation
Lipoma of spinal cord,C0347446,Nerve conduction studies abnormal
Vascular encephalopathy,C1504463,Spinal cord lipoma
Pelvic deformity,C0576416,Vascular encephalopathy
Operation on skin,C0191275,Pelvic deformity
Breathing-related sleep disorder,C0236845,Skin operation
Infective Phlebitis,C1112243,Breathing-related sleep disorder
Viral bronchitis,C0276141,Phlebitis infective
Insulin-like growth factor decreased,C1167836,Bronchitis viral
Lymphatic Diseases,C0024228,Insulin-like growth factor decreased
Bipolar Disorder Type 2,C0236788,Lymphangiopathy
Chronic kidney disease mineral and bone disorder,C4076240,Bipolar II disorder
Body height below normal,C1112278,Chronic kidney disease-mineral and bone disorder
Single functional kidney,C1504368,Body height below normal
Hyperreflexia,C0151889,Single functional kidney
Positron emission tomogram abnormal,C0853546,Hyperreflexia
Product prescribing issue,C4552166,Positron emission tomogram abnormal
Dermo-hypodermitis,C1696849,Product prescribing issue
Insulin-resistant diabetes mellitus,C0854110,Dermo-hypodermitis
Cerebellar Dysmetria,C0234162,Insulin resistant diabetes
Brain stem syndrome,C1328447,Dysmetria
Product distribution issue,C3160905,Brain stem syndrome
Nephritis allergic,C0858677,Product distribution issue
Splinter hemorrhage,C0333286,Nephritis allergic
Social Problems,C0037431,Splinter haemorrhages
Near Drowning,C0027516,Social problem
Allergic reaction to excipient,C4324332,Near drowning
Allergic respiratory symptom,C1504367,Allergic reaction to excipient
Allergy to plant,C1096642,Allergic respiratory symptom
Exposure to allergen,C0238614,Allergy to plants
Thirst decreased,C0919626,Exposure to allergen
Asymptomatic bacteriuria,C0262380,Thirst decreased
L.E. cells present,C0236117,Asymptomatic bacteriuria
Complications of transplant surgery,C0854567,LE cells present
"Syncope, Carotid Sinus",C0221046,Complications of transplant surgery
Bronchopneumopathy,C1096448,Carotid sinus syndrome
Tuberculous abscess central nervous system,C0948517,Bronchopneumopathy
Vesico-Ureteral Reflux,C0042580,Tuberculous abscess central nervous system
Trabeculectomy,C0040574,Vesicoureteric reflux
Urine cytology abnormal,C0587955,Trabeculoplasty
Obesity Hypoventilation Syndrome,C0031880,Urine cytology abnormal
Amputation of the foot (procedure),C0188605,Pickwickian syndrome
Staphylococcal osteomyelitis,C1535985,Foot amputation
Vascular stent stenosis,C4049314,Staphylococcal osteomyelitis
Candida infection of genital region,C0343863,Vascular stent stenosis
Reaction to excipient,C4524025,Genital candidiasis
Therapeutic reaction time decreased,C0542189,Reaction to excipient
Hepatitis B antibody positive,C0860013,Therapeutic reaction time decreased
Reduced forced vital capacity,C1846678,Hepatitis B antibody positive
"Adenocarcinoma of lung, stage II",C0854986,Forced vital capacity decreased
Sudden Visual Loss,C0155002,Lung adenocarcinoma stage II
Defaecation disorder,C3825420,Sudden visual loss
Cytomegalovirus chorioretinitis,C0877072,Defaecation disorder
Herpes encephalitis,C0276226,Cytomegalovirus chorioretinitis
Ruptured varicose veins,C0340775,Herpes simplex encephalitis
Joint neoplasm,C2062530,Varicose vein ruptured
Perihepatic discomfort,C1096234,Joint neoplasm
Swollen joint count increased,C4324601,Perihepatic discomfort
Tender joint count increased,C4324603,Swollen joint count increased
Irregular sleep phase,C0854741,Tender joint count increased
Hemorrhage of prostate,C0268891,Irregular sleep phase
Peptic Ulcer,C0030920,Prostatic haemorrhage
Intraductal papillary-mucinous carcinoma of pancreas,C1335304,Gastroduodenal ulcer
Alpha haemolytic streptococcal infection,C1096266,Intraductal papillary-mucinous carcinoma of pancreas
Bone marrow hyperplasia,C0005959,Alpha haemolytic streptococcal infection
Reaction to preservatives,C1609506,Marrow hyperplasia
Lip erosion,C0948231,Reaction to preservatives
Therapy partial responder,C4285679,Lip erosion
Thalassemia,C0039730,Therapy partial responder
Hypertrophied anal papilla,C0267574,Thalassaemia
Cholesteatoma,C0008373,Hypertrophic anal papilla
Benign neoplasm of large intestine,C0347272,Cholesteatoma
Cutis Laxa,C0010495,Large intestine benign neoplasm
Suspected transmission of an infectious agent via product,C3495839,Skin laxity
Disseminated mycobacterium avium complex infection,C2721732,Suspected transmission of an infectious agent via product
Jaw fistula,C4324476,Mycobacterium avium complex infection
Acantholysis,C0000887,Jaw fistula
Thyroxine free abnormal,C0861031,Acantholysis
alpha 1-Antitrypsin Deficiency,C0221757,Thyroxine free abnormal
Secondary malignant neoplasm of ovary,C3647143,Alpha-1 anti-trypsin deficiency
Liver carcinoma ruptured,C0919804,Metastases to ovary
Intellectual Disability,C3714756,Liver carcinoma ruptured
Drug effect faster than expected,C4285741,Intellectual disability
Foreign Body in Digestive Tract,C0016546,Drug effect faster than expected
Anosognosia,C0234507,Foreign body in gastrointestinal tract
Decreased ventricular preload,C0919824,Anosognosia
5-hydroxyindolacetic acid in urine increased,C0919915,Decreased ventricular preload
Product administered at inappropriate site,C4552237,5-hydroxyindolacetic acid in urine increased
Paranasal sinus haematoma,C2747801,Product administered at inappropriate site
Porphyria (disorder),C5848305,Paranasal sinus haematoma
Fibrosis of pancreas,C0267952,Porphyria
Schizoaffective Disorder,C0036337,Pancreatic fibrosis
Pasteurella Infections,C0030636,Schizoaffective disorder
Oligospermia,C0028960,Pasteurella infection
Teratozoospermia,C0403824,Oligospermia
Drug therapeutic incompatibility,C1096066,Teratospermia
Adrenocortical carcinoma,C0206686,Drug therapeutic incompatibility
Cholesterolosis of gallbladder,C0152456,Adrenocortical carcinoma
Acquired apparent mineralocorticoid excess,C4524196,Gallbladder cholesterolosis
Rapidly progressive osteoarthritis,C3854438,Acquired apparent mineralocorticoid excess
Urinary tract discomfort,C4049184,Rapidly progressive osteoarthritis
Meibomian Cyst,C0007933,Urinary tract discomfort
Purulent sputum,C0241235,Chalazion
Hyperleukocytosis,C4324336,Sputum purulent
Injury of anus,C2226910,Hyperleukocytosis
Disease of scrotum,C0268919,Anal injury
Angiokeratoma,C0002985,Scrotal disorder
Autoscopy,C3665855,Angiokeratoma
Feeding intolerance,C1820738,Autoscopy
Hypertensive angiopathy,C1167697,Feeding intolerance
Bacterial conjunctivitis,C0009768,Hypertensive angiopathy
Lentigo maligna melanoma,C2739810,Conjunctivitis bacterial
Choroiditis,C0008526,Lentigo maligna
Angiosarcoma of liver,C0345907,Choroiditis
Hemangioblastoma,C0206734,Hepatic angiosarcoma
Enteropathy-Associated T-Cell Lymphoma,C0456889,Haemangioblastoma
Medical device site erosion,C3888706,Enteropathy-associated T-cell lymphoma
Pancreatic Duct Stenosis,C0940747,Medical device site erosion
Proteus test positive,C2748110,Pancreatic duct stenosis
Superinfection,C0038826,Proteus test positive
Needle track,C0522560,Superinfection
Eyelid infection,C0549322,Needle track marks
Organic brain syndrome,C0029221,Eyelid infection
Alcoholic Liver Diseases,C0023896,Organic brain syndrome
Perforation (morphologic abnormality),C0549099,Alcoholic liver disease
Breast necrosis,C0549396,Perforation
Endometrial thickening,C0743516,Breast necrosis
Strangulated hernia,C0401116,Endometrial thickening
Herpes zoster infection neurological,C0854329,Strangulated hernia
Hypoaldosteronism,C0020595,Herpes zoster infection neurological
Dissection of carotid artery,C0338585,Hypoaldosteronism
Laryngeal neoplasm,C0023055,Carotid artery dissection
Hypercapnic coma,C3495809,Laryngeal neoplasm
Hypoaesthesia teeth,C0948169,Hypercapnic coma
Neoplasm swelling,C1142173,Hypoaesthesia teeth
Abnormal foot pulse,C0232159,Neoplasm swelling
Arterial intramural haematoma,C3854565,Pedal pulse abnormal
Acute glomerulonephritis,C0156221,Arterial intramural haematoma
Fluid replacement,C0521302,Glomerulonephritis acute
Perinatal depression in mother,C4284586,Fluid replacement
Eyelash changes,C4523867,Perinatal depression
Seminoma,C0036631,Eyelash changes
Testicular embryonal carcinoma,C0238448,Seminoma
Testicular Neoplasms,C0039590,Testicular embryonal carcinoma
"Gambling, Pathological",C0030662,Testicular neoplasm
Gastrointestinal melanosis,C4285753,Gambling disorder
Plaque shift,C3267022,Gastrointestinal melanosis
Multiple Endocrine Neoplasia,C0027662,Plaque shift
Stoma complication,C3804958,Multiple endocrine neoplasia
Breast-Conserving Surgery,C0917927,Stoma complication
Cold Hemagglutinin Disease,C0175816,Breast conserving surgery
Plateletcrit decreased,C1611162,Cold type haemolytic anaemia
Implantation of neurostimulator in spine,C0196435,Plateletcrit decreased
Anal squamous cell carcinoma,C1412036,Spinal nerve stimulator implantation
Coating in mouth,C3854496,Anal squamous cell carcinoma
Cardiac dysfunction,C3277906,Coating in mouth
Ultrasound Doppler abnormal,C0853526,Cardiac dysfunction
Abscess soft tissue,C0740694,Ultrasound Doppler abnormal
Aeromonas infection,C0851848,Abscess soft tissue
Mantle cell lymphoma stage IV,C0677721,Aeromonas infection
Medical procedure,C0199171,Mantle cell lymphoma stage IV
Administration site hypersensitivity,C3854410,Medical procedure
Administration site scar,C3888625,Administration site hypersensitivity
Lacrimal Apparatus Diseases,C0022904,Administration site scar
Alcohol Problem,C0549393,Lacrimal disorder
Pleural Diseases,C0032226,Alcohol problem
Granulocytosis,C1282609,Pleural disorder
Wrong schedule,C4524238,Granulocytosis
Gastrointestinal vascular malformation haemorrhagic,C4552186,Wrong schedule
Cerebellar stroke,C2674383,Gastrointestinal vascular malformation haemorrhagic
Clostridial gastroenteritis,C0520764,Cerebellar stroke
Injection site joint pain,C0877179,Gastroenteritis clostridial
Hepatic Infarction,C0151731,Injection site joint pain
Infusion site hypoaesthesia,C1699649,Hepatic infarction
Epinephrine decreased,C0853383,Infusion site hypoaesthesia
Anti-complement antibody,C3203600,Epinephrine decreased
Nocturnal Myoclonus Syndrome,C0751774,Anti-complement antibody
Primary Biliary Cholangitis,C0008312,Periodic limb movement disorder
Neonatal neutropenia (disorder),C0543693,Primary biliary cholangitis
Epididymal Cyst,C5442141,Neutropenia neonatal
Pituitary tumour recurrent,C0278865,Epididymal cyst
Leptotrichia infection,C3160801,Pituitary tumour recurrent
Decreased circulating IgE,C0853668,Leptotrichia infection
Congenital anomaly of cardiovascular system (disorder),C3665496,Blood immunoglobulin E decreased
"Truncus Arteriosus, Persistent",C0041207,Congenital cardiovascular anomaly
Pressure of speech,C0233718,Truncus arteriosus persistent
Manufacturing materials contamination,C4285837,Pressure of speech
Fulminant type 1 diabetes mellitus,C3495814,Manufacturing materials contamination
Acute promyelocytic leukaemia differentiation syndrome,C1698394,Fulminant type 1 diabetes mellitus
Intentional poisoning,C0853846,Acute promyelocytic leukaemia differentiation syndrome
"Waterhouse-Friderichsen Syndrome, Meningococcal",C1403891,Poisoning deliberate
Instillation site lacrimation,C1697736,Waterhouse-Friderichsen syndrome
Pulmonary emphysema co-occurrent with fibrosis of lung,C3872815,Instillation site lacrimation
Product appearance confusion,C4524060,Combined pulmonary fibrosis and emphysema
Depersonalisation/derealisation disorder,C4087264,Product appearance confusion
Bacterial meningoencephalitis,C0920250,Depersonalisation/derealisation disorder
Carcinoma in situ of penis,C0154089,Meningoencephalitis bacterial
Pancreatic Insufficiency,C0030293,Carcinoma in situ of penis
Noises in joint,C0277829,Pancreatic failure
Vitamin E Deficiency,C0042875,Joint noise
Fixed eruption,C0151629,Vitamin E deficiency
Incision site vesicles,C2242592,Fixed eruption
Proctitis herpes,C0149976,Incision site vesicles
Cortisol decreased,C0740379,Proctitis herpes
Tri-iodothyronine uptake decreased,C0241322,Cortisol decreased
Vascular stent occlusion,C4049313,Tri-iodothyronine decreased
Antiphospholipid antibody measurement,C0201534,Vascular stent occlusion
Sleep Deprivation,C0037316,Antiphospholipid antibodies
Bronchial Neoplasms,C0006264,Sleep deficit
Eosinopenia,C0272195,Bronchial neoplasm
Disorder of abdominal wall,C1290865,Eosinopenia
Product communication issue,C4524117,Abdominal wall disorder
"Bladder cancer stage I, with cancer in situ",C0855183,Product communication issue
Mean cell haemoglobin concentration increased,C0855787,"Bladder cancer stage I, with cancer in situ"
Post procedural inflammation,C1328543,Mean cell haemoglobin concentration increased
Neonatal hypertension,C0452204,Post procedural inflammation
Oligohydramnios sequence,C0178426,Hypertension neonatal
Congenital hypoplasia of lung,C0265783,Potter's syndrome
Eye haematoma,C4524002,Pulmonary hypoplasia
Autoinflammatory Syndrome,C3890737,Eye haematoma
CSF lymphocyte count abnormal,C0853581,Autoinflammatory disease
Anti factor VIII antibody increased,C4049231,CSF lymphocyte count abnormal
Autonomic Dysreflexia,C0238015,Anti factor VIII antibody increased
Urine microalbumin detected,C0564622,Autonomic dysreflexia
Deficiency of bile secretion,C3203690,Albumin urine present
Scleral deposits,C4087272,Deficiency of bile secretion
Lack of application site rotation,C3888693,Scleral deposits
Lichen Nitidus,C0162849,Lack of application site rotation
Cartilage-hair hypoplasia,C0220748,Lichen nitidus
Micrognathism,C0025990,Cartilage-hair hypoplasia
Non-compaction cardiomyopathy,C4324548,Micrognathia
Injury of buttock,C0272431,Non-compaction cardiomyopathy
Corneal Endothelial Cell Loss,C2717756,Buttock injury
Neuromyelitis optica spectrum disorder progression,C4087482,Corneal endothelial cell loss
Cyclic neutropenia,C0221023,Neuromyelitis optica spectrum disorder
Epileptic encephalopathy,C0543888,Cyclic neutropenia
Infusion site swelling,C1096049,Epileptic encephalopathy
"Keratoderma, Palmoplantar",C4551675,Infusion site swelling
Autoimmune neuropathy,C2748363,Palmoplantar keratoderma
Mass of uterus,C0221782,Autoimmune neuropathy
Oxygen saturation measurement,C0523807,Uterine mass
Chromoblastomycosis,C0008582,Oxygen saturation
Atypical lymphocyte,C0221277,Chromoblastomycosis
Mucosal Infection,C1698484,Lymphocyte morphology abnormal
Bacterial oral infection,C0729527,Mucosal infection
Congenital umbilical hernia,C5887143,Oral bacterial infection
Blood triglycerides decreased,C0854111,Congenital umbilical hernia
Pica (disorder),C0031873,Blood triglycerides decreased
Bleeding time abnormal,C0549544,Pica
Esophageal Achalasia,C0014848,Bleeding time abnormal
Congenital ptosis,C0266573,Cardiospasm
Neonatal pneumonia,C0339968,Eyelid ptosis congenital
"Twins, Conjoined",C0041428,Neonatal pneumonia
Adjustment disorder with depressed mood,C0001539,Conjoined twins
Accidental underdose,C3854348,Adjustment disorder with depressed mood
Biloma,C1167663,Accidental underdose
Fungal disease carrier,C4552181,Biloma
Product dose omission,C4728064,Fungal disease carrier
Inappropriate schedule of product administration,C4728056,Product dose omission
Cryptosporidiosis,C0010418,Inappropriate schedule of product administration
Contracted bladder,C0268854,Cryptosporidiosis infection
Product prescribing error,C4728196,Contracted bladder
